"No.","Time","Source","Destination","Protocol","Length","Info"
"10153","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1528447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10154","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10155","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1529697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10156","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10157","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1530947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10158","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10159","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1532197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10160","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10161","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1533447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10162","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10163","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1534697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10164","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10165","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1535947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10167]"
"10166","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10167","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10168","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10169","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1538447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10170","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1539697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10171","0.000378900","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1540947 Win=2096896 Len=0"
"10172","0.000874100","118.138.122.172","142.250.195.142","QUIC","75","Protected Payload (KP0), DCID=ed814b963f91763d"
